left_facing_fist_tone2, 0x1f91b,0x1f3fc
left_facing_fist_tone3, 0x1f91b,0x1f3fd
left_facing_fist_tone4, 0x1f91b,0x1f3fe
left_facing_fist_tone5, 0x1f91b,0x1f3ff
right_facing_fist, 0x1f91c
right_facing_fist_tone1, 0x1f91c,0x1f3fb
right_facing_fist_tone2, 0x1f91c,0x1f3fc
right_facing_fist_tone3, 0x1f91c,0x1f3fd
right_facing_fist_tone4, 0x1f91c,0x1f3fe
right_facing_fist_tone5, 0x1f91c,0x1f3ff
fingers_crossed, 0x1f91e
fingers_crossed_tone1, 0x1f91e,0x1f3fb
fingers_crossed_tone2, 0x1f91e,0x1f3fc
fingers_crossed_tone3, 0x1f91e,0x1f3fd
fingers_crossed_tone4, 0x1f91e,0x1f3fe
fingers_crossed_tone5, 0x1f91e,0x1f3ff
v, 0x270c
v_tone1, 0x270c,0x1f3fb
v_tone2, 0x270c,0x1f3fc
v_tone3, 0x270c,0x1f3fd
v_tone4, 0x270c,0x1f3fe
v_tone5, 0x270c,0x1f3ff
metal, 0x1f918
metal_tone1, 0x1f918,0x1f3fb
metal_tone2, 0x1f918,0x1f3fc
metal_tone3, 0x1f918,0x1f3fd
metal_tone4, 0x1f918,0x1f3fe
metal_tone5, 0x1f918,0x1f3ff
ok_hand, 0x1f44c
ok_hand_tone1, 0x1f44c,0x1f3fb
ok_hand_tone2, 0x1f44c,0x1f3fc
ok_hand_tone3, 0x1f44c,0x1f3fd
ok_hand_tone4, 0x1f44c,0x1f3fe
ok_hand_tone5, 0x1f44c,0x1f3ff
point_left, 0x1f448
point_left_tone1, 0x1f448,0x1f3fb
point_left_tone2, 0x1f448,0x1f3fc
point_left_tone3, 0x1f448,0x1f3fd
point_left_tone4, 0x1f448,0x1f3fe
point_left_tone5, 0x1f448,0x1f3ff
point_right, 0x1f449
point_right_tone1, 0x1f449,0x1f3fb
point_right_tone2, 0x1f449,0x1f3fc
point_right_tone3, 0x1f449,0x1f3fd
point_right_tone4, 0x1f449,0x1f3fe
point_right_tone5, 0x1f449,0x1f3ff
point_up_2, 0x1f446
point_up_2_tone1, 0x1f446,0x1f3fb
point_up_2_tone2, 0x1f446,0x1f3fc
point_up_2_tone3, 0x1f446,0x1f3fd
point_up_2_tone4, 0x1f446,0x1f3fe
point_up_2_tone5, 0x1f446,0x1f3ff
point_down, 0x1f447
point_down_tone1, 0x1f447,0x1f3fb
point_down_tone2, 0x1f447,0x1f3fc
point_down_tone3, 0x1f447,0x1f3fd
point_down_tone4, 0x1f447,0x1f3fe
point_down_tone5, 0x1f447,0x1f3ff
point_up, 0x261d
point_up_tone1, 0x261d,0x1f3fb
